[Info]
Created	20.11.2023 20:05:44
by	Nadja
	
NoStds	0
NoSamples	1
NoScanDims	1
NoScanPoints(1)	801

[Setup]
CalibType	None
StartOn	Keyboard
Ordinate	T
Scan Start	1000
Scan End	200
Scan Step	1,0
Scan Speed	480
Slit Width	2
LampUV	On
LampVIS	On
LampChange	326
Wl	1000

[Sample Info]
SamplePos	2	
SampleID	Sample 1	
Required	false	

653,0	86,00	
654,0	85,92	
655,0	85,85	
656,0	85,68	
657,0	85,48	
658,0	85,18	
659,0	84,78	
660,0	84,22	
661,0	83,46	
662,0	82,43	
663,0	81,05	
664,0	79,30	
665,0	77,12	
666,0	74,53	
667,0	71,52	
668,0	68,28	
669,0	64,73	
670,0	61,10	
671,0	57,38	
672,0	53,81	
673,0	50,43	
674,0	47,15	
675,0	43,97	
676,0	40,89	
677,0	38,19	
678,0	35,85	
679,0	33,94	
680,0	32,48	
681,0	31,90	
682,0	32,56	
683,0	34,58	
684,0	37,49	
685,0	40,66	
686,0	43,53	
687,0	46,11	
688,0	48,47	
689,0	50,90	
690,0	53,45	
691,0	56,07	
692,0	58,69	
693,0	61,25	
694,0	63,79	
695,0	66,17	
696,0	68,49	
697,0	70,53	
698,0	72,46	
699,0	74,16	
700,0	75,59	
701,0	76,78	
702,0	77,78	
703,0	78,53	
704,0	79,14	
705,0	79,56	
706,0	79,86	
707,0	80,00	
708,0	79,99	
709,0	79,85	
710,0	79,58	
711,0	79,09	
712,0	78,51	
713,0	77,74	
714,0	76,85	
715,0	75,74	
716,0	74,37	
717,0	72,82	
718,0	70,90	
719,0	68,75	
720,0	66,09	
721,0	62,99	
722,0	59,21	
723,0	54,69	
724,0	49,24	
725,0	42,73	
726,0	35,32	
727,0	27,06	
728,0	18,69	
729,0	10,96	
730,0	5,34	
731,0	2,05	
732,0	0,66	
733,0	0,21	
734,0	0,10	
735,0	0,08	
736,0	0,07	
737,0	0,07	
738,0	0,06	
739,0	0,06	
740,0	0,06	
741,0	0,06	
742,0	0,06	
743,0	0,06	
744,0	0,06	
745,0	0,06	
746,0	0,06	
747,0	0,06	
748,0	0,06	
749,0	0,06	
750,0	0,06	
751,0	0,07	
752,0	0,08	
753,0	0,09	
754,0	0,12	
755,0	0,17	
756,0	0,28	
757,0	0,48	
758,0	0,87	
759,0	1,52	
760,0	2,46	
761,0	3,68	
762,0	5,24	
763,0	7,18	
