ENLIGHTEN Version,3.2.36
Measurement ID,20260121-152813-261920-WP-01416
Serial Number,WP-01416
Model,WPX-532-R4-EXR-IC
Detector,S11850-1106
Label,CH2Cl2
Declared Match,
Declared Score,0
Scan Averaging,1
Boxcar,1
Technique,
Baseline Correction Algo,
ROI Pixel Start,80
ROI Pixel End,2046
CCD C4,2.7494990333977454e-13
Slit Width,25
Vignetted,True
Interpolated,False
Wavenumber Correction,0
Raman Intensity Corrected,False
Deconvolved,False
Region,
Laser Power mW,
Battery %,
Device ID,<DeviceID USB USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
Integration Time,1000
Timestamp,2026-01-21 15:28:13.261920
Note,
Temperature,9.993813157576085
CCD C0,526.0908203125
CCD C1,0.11147542297840118
CCD C2,4.83367011838709e-06
CCD C3,-3.902286493939755e-09
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,532.1
Laser Enable,False
Laser Power %,100
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed
447,576.55,1448.87,1219.00
448,576.66,1452.28,1227.33
449,576.78,1455.70,1238.00
450,576.89,1459.11,1244.33
451,577.00,1462.52,1224.67
452,577.12,1465.93,1214.67
453,577.23,1469.34,1211.00
454,577.34,1472.75,1219.67
455,577.46,1476.15,1213.33
456,577.57,1479.56,1212.67
457,577.68,1482.96,1199.67
458,577.80,1486.36,1193.33
459,577.91,1489.76,1175.67
460,578.02,1493.16,1168.67
461,578.14,1496.56,1161.00
462,578.25,1499.96,1154.00
463,578.37,1503.35,1165.33
464,578.48,1506.75,1161.00
465,578.59,1510.14,1166.00
466,578.71,1513.53,1152.00
467,578.82,1516.92,1164.67
468,578.93,1520.31,1166.67
469,579.05,1523.70,1174.33
470,579.16,1527.08,1158.33
471,579.27,1530.47,1158.33
472,579.39,1533.85,1158.33
473,579.50,1537.23,1156.33
474,579.61,1540.61,1156.33
475,579.73,1543.99,1152.33
476,579.84,1547.37,1144.33
477,579.96,1550.75,1153.67
478,580.07,1554.12,1150.00
479,580.18,1557.49,1160.00
480,580.30,1560.87,1151.67
481,580.41,1564.24,1161.67
482,580.52,1567.61,1157.33
483,580.64,1570.98,1153.00
484,580.75,1574.34,1143.67
485,580.86,1577.71,1150.00
486,580.98,1581.07,1144.33
487,581.09,1584.44,1138.67
488,581.20,1587.80,1166.33
489,581.32,1591.16,1170.00
490,581.43,1594.52,1182.00
491,581.54,1597.87,1160.00
492,581.66,1601.23,1166.00
493,581.77,1604.59,1168.00
494,581.89,1607.94,1156.00
495,582.00,1611.29,1154.67
496,582.11,1614.64,1144.33
497,582.23,1617.99,1145.00
498,582.34,1621.34,1145.00
499,582.45,1624.69,1143.33
500,582.57,1628.03,1142.00
501,582.68,1631.38,1166.67
502,582.79,1634.72,1167.00
503,582.91,1638.06,1191.67
504,583.02,1641.40,1187.67
505,583.13,1644.74,1196.00
506,583.25,1648.08,1171.33
507,583.36,1651.41,1153.00
508,583.47,1654.75,1153.00
509,583.59,1658.08,1168.67
510,583.70,1661.41,1171.33
511,583.81,1664.75,1162.00
512,583.93,1668.08,1150.00
513,584.04,1671.40,1145.67
514,584.16,1674.73,1155.00
515,584.27,1678.06,1160.67
516,584.38,1681.38,1170.00
517,584.50,1684.70,1157.33
518,584.61,1688.02,1156.67
519,584.72,1691.34,1141.67
520,584.84,1694.66,1144.33
521,584.95,1697.98,1149.67
522,585.06,1701.30,1146.33
523,585.18,1704.61,1145.67
524,585.29,1707.93,1136.67
525,585.40,1711.24,1142.33
526,585.52,1714.55,1135.33
527,585.63,1717.86,1136.67
528,585.74,1721.17,1134.67
529,585.86,1724.47,1146.00
530,585.97,1727.78,1126.33
531,586.08,1731.08,1127.00
532,586.20,1734.38,1129.67
533,586.31,1737.69,1157.00
534,586.43,1740.99,1157.67
535,586.54,1744.29,1164.00
536,586.65,1747.58,1163.33
537,586.77,1750.88,1155.33
538,586.88,1754.17,1149.00
539,586.99,1757.47,1144.00
540,587.11,1760.76,1135.67
541,587.22,1764.05,1128.67
542,587.33,1767.34,1124.00
543,587.45,1770.63,1149.33
544,587.56,1773.91,1146.00
545,587.67,1777.20,1148.67
546,587.79,1780.48,1137.33
547,587.90,1783.77,1142.67
548,588.01,1787.05,1142.67
549,588.13,1790.33,1147.67
550,588.24,1793.61,1151.33
551,588.35,1796.89,1155.67
552,588.47,1800.16,1156.33
553,588.58,1803.44,1150.67
554,588.69,1806.71,1142.00
555,588.81,1809.98,1135.67
556,588.92,1813.25,1142.67
557,589.03,1816.52,1148.33
558,589.15,1819.79,1157.67
559,589.26,1823.06,1146.67
560,589.37,1826.32,1134.67
561,589.49,1829.59,1136.00
562,589.60,1832.85,1133.67
563,589.71,1836.11,1150.67
564,589.83,1839.37,1136.00
565,589.94,1842.63,1143.67
566,590.06,1845.89,1137.33
567,590.17,1849.15,1142.67
568,590.28,1852.40,1156.33
569,590.40,1855.65,1156.33
570,590.51,1858.91,1156.67
571,590.62,1862.16,1136.00
572,590.74,1865.41,1138.00
573,590.85,1868.66,1144.00
574,590.96,1871.90,1162.33
575,591.08,1875.15,1164.67
576,591.19,1878.39,1161.33
577,591.30,1881.64,1155.00
578,591.42,1884.88,1141.67
579,591.53,1888.12,1138.00
580,591.64,1891.36,1127.67
581,591.76,1894.59,1126.33
582,591.87,1897.83,1125.67
583,591.98,1901.07,1127.00
584,592.10,1904.30,1129.00
585,592.21,1907.53,1130.33
586,592.32,1910.76,1149.33
587,592.44,1913.99,1155.00
588,592.55,1917.22,1149.00
589,592.66,1920.45,1135.00
590,592.78,1923.68,1147.00
591,592.89,1926.90,1161.00
592,593.00,1930.12,1149.67
593,593.12,1933.34,1141.00
594,593.23,1936.57,1133.00
595,593.34,1939.78,1135.00
596,593.46,1943.00,1117.67
597,593.57,1946.22,1128.33
598,593.68,1949.43,1145.33
599,593.80,1952.65,1161.33
600,593.91,1955.86,1148.00
601,594.02,1959.07,1165.33
602,594.14,1962.28,1245.67
603,594.25,1965.49,1288.00
604,594.36,1968.70,1262.00
605,594.48,1971.91,1182.33
606,594.59,1975.11,1139.33
607,594.70,1978.31,1149.33
608,594.82,1981.52,1156.33
609,594.93,1984.72,1157.67
610,595.04,1987.92,1144.33
611,595.16,1991.11,1141.67
612,595.27,1994.31,1150.00
613,595.38,1997.51,1160.33
614,595.49,2000.70,1168.67
615,595.61,2003.89,1151.33
616,595.72,2007.09,1141.00
617,595.83,2010.28,1124.00
618,595.95,2013.47,1122.33
619,596.06,2016.65,1124.33
620,596.17,2019.84,1124.33
621,596.29,2023.03,1139.33
622,596.40,2026.21,1147.00
623,596.51,2029.39,1138.00
624,596.63,2032.57,1133.00
625,596.74,2035.75,1124.00
626,596.85,2038.93,1127.00
627,596.97,2042.11,1139.00
628,597.08,2045.28,1151.67
629,597.19,2048.46,1155.67
630,597.31,2051.63,1141.67
631,597.42,2054.81,1132.33
632,597.53,2057.98,1148.00
633,597.65,2061.15,1155.67
634,597.76,2064.31,1162.00
635,597.87,2067.48,1149.33
636,597.99,2070.65,1150.67
637,598.10,2073.81,1140.33
638,598.21,2076.97,1139.67
639,598.32,2080.13,1139.67
640,598.44,2083.29,1142.33
641,598.55,2086.45,1150.67
642,598.66,2089.61,1146.67
643,598.78,2092.77,1156.00
644,598.89,2095.92,1153.67
645,599.00,2099.08,1155.00
646,599.12,2102.23,1152.67
647,599.23,2105.38,1131.00
648,599.34,2108.53,1145.67
649,599.46,2111.68,1148.67
650,599.57,2114.83,1165.67
651,599.68,2117.97,1153.00
652,599.80,2121.12,1149.33
653,599.91,2124.26,1148.67
654,600.02,2127.40,1152.33
655,600.14,2130.54,1160.00
656,600.25,2133.68,1162.67
657,600.36,2136.82,1171.67
658,600.47,2139.96,1171.67
659,600.59,2143.09,1166.67
660,600.70,2146.23,1142.00
661,600.81,2149.36,1126.00
662,600.93,2152.49,1131.00
663,601.04,2155.62,1132.33
664,601.15,2158.75,1138.67
665,601.27,2161.88,1142.33
666,601.38,2165.00,1161.33
667,601.49,2168.13,1160.00
668,601.60,2171.25,1162.67
669,601.72,2174.38,1154.33
670,601.83,2177.50,1145.67
671,601.94,2180.62,1132.33
672,602.06,2183.74,1131.67
