TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/11/19
TIME	12:51:05
SPECTROMETER/DATA SYSTEM	
LOCALE	2057
RESOLUTION	
DELTAX	-0.2
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  900.0000
LASTX	  200.0000
NPOINTS	    3501
FIRSTY	    -0.00292
MAXY	     2.34215
MINY	    -0.00739
XYDATA
833.0000	-0.00667314
832.8000	-0.0063173
832.6000	-0.00649169
832.4000	-0.00624917
832.2000	-0.00614404
832.0000	-0.00668271
831.8000	-0.00688234
831.6000	-0.00645059
831.4000	-0.00656629
831.2000	-0.00685406
831.0000	-0.00631475
830.8000	-0.00622464
830.6000	-0.00661998
830.4000	-0.00675416
830.2000	-0.00666798
830.0000	-0.00643485
829.8000	-0.00614612
829.6000	-0.00664339
829.4000	-0.00656178
829.2000	-0.00575055
829.0000	-0.00619798
828.8000	-0.0064576
828.6000	-0.00643384
828.4000	-0.00649074
828.2000	-0.00625571
828.0000	-0.0063982
827.8000	-0.00657306
827.6000	-0.00670278
827.4000	-0.00652513
827.2000	-0.00628291
827.0000	-0.0063258
826.8000	-0.00627668
826.6000	-0.00660205
826.4000	-0.00649947
826.2000	-0.00607598
826.0000	-0.00625286
825.8000	-0.00640123
825.6000	-0.00628731
825.4000	-0.00630631
825.2000	-0.00649644
825.0000	-0.00618681
824.8000	-0.0063669
824.6000	-0.00687265
824.4000	-0.0067503
824.2000	-0.00651438
824.0000	-0.00608334
823.8000	-0.00617083
823.6000	-0.00705601
823.4000	-0.00738976
823.2000	-0.00666697
823.0000	-0.0061125
822.8000	-0.00635318
822.6000	-0.00664368
822.4000	-0.00658405
822.2000	-0.00638668
822.0000	-0.00653802
821.8000	-0.00677043
821.6000	-0.00639226
821.4000	-0.00613115
821.2000	-0.00629645
821.0000	-0.00668461
820.8000	-0.00675214
820.6000	-0.00678647
820.4000	-0.00677857
820.2000	-0.00656576
820.0000	-0.0068941
819.8000	-0.00654788
819.6000	-0.0065
819.4000	-0.00668324
819.2000	-0.00636898
819.0000	-0.00637789
818.8000	-0.0066321
818.6000	-0.00685537
818.4000	-0.00665479
818.2000	-0.00674608
818.0000	-0.00639838
817.8000	-0.00587902
817.6000	-0.00640022
817.4000	-0.00678451
817.2000	-0.00649781
817.0000	-0.00639689
816.8000	-0.00631445
816.6000	-0.00596265
816.4000	-0.00634266
816.2000	-0.00656748
816.0000	-0.00613905
815.8000	-0.00633987
815.6000	-0.00631053
815.4000	-0.00580875
815.2000	-0.00619708
815.0000	-0.00642558
814.8000	-0.00629835
814.6000	-0.00622963
814.4000	-0.00628873
814.2000	-0.00671906
814.0000	-0.00705637
813.8000	-0.00673147
813.6000	-0.00610039
813.4000	-0.00614594
813.2000	-0.00635258
813.0000	-0.00648985
812.8000	-0.00645932
812.6000	-0.00607235
812.4000	-0.00621419
812.2000	-0.00670789
812.0000	-0.0066754
811.8000	-0.00661084
811.6000	-0.00646995
811.4000	-0.00631255
811.2000	-0.00659569
811.0000	-0.00685804
810.8000	-0.00663703
810.6000	-0.00665604
810.4000	-0.00652828
810.2000	-0.00635924
810.0000	-0.00640604
809.8000	-0.00612896
809.6000	-0.00654835
809.4000	-0.00672654
809.2000	-0.0064927
809.0000	-0.00663317
808.8000	-0.00640574
808.6000	-0.00632455
808.4000	-0.00607633
808.2000	-0.00557218
808.0000	-0.00594144
807.8000	-0.0063887
807.6000	-0.00617826
807.4000	-0.00601717
807.2000	-0.00614012
807.0000	-0.00627721
806.8000	-0.00632645
806.6000	-0.00663638
806.4000	-0.00669399
806.2000	-0.00631671
806.0000	-0.00624139
805.8000	-0.00618722
805.6000	-0.00621728
805.4000	-0.00613804
805.2000	-0.00586037
805.0000	-0.00601195
804.8000	-0.00629758
804.6000	-0.00606148
804.4000	-0.00615735
804.2000	-0.00600031
804.0000	-0.00580662
803.8000	-0.00617232
803.6000	-0.00621948
803.4000	-0.00638638
803.2000	-0.00659967
803.0000	-0.00651563
802.8000	-0.00620011
802.6000	-0.00628279
802.4000	-0.00615022
802.2000	-0.00593723
802.0000	-0.00613876
801.8000	-0.0062784
801.6000	-0.00624211
801.4000	-0.00610449
801.2000	-0.00618093
801.0000	-0.00618271
800.8000	-0.00611037
800.6000	-0.00588235
800.4000	-0.00587664
800.2000	-0.006487
800.0000	-0.00656445
799.8000	-0.00614559
799.6000	-0.00627679
799.4000	-0.00610686
799.2000	-0.00604551
799.0000	-0.00638525
798.8000	-0.00616947
798.6000	-0.00590248
798.4000	-0.00586055
798.2000	-0.00596693
798.0000	-0.00598474
797.8000	-0.00582984
797.6000	-0.00574413
797.4000	-0.00610799
797.2000	-0.00600351
797.0000	-0.00607901
796.8000	-0.00652329
796.6000	-0.00627608
796.4000	-0.00622625
796.2000	-0.00632609
796.0000	-0.00619043
795.8000	-0.00586405
795.6000	-0.00562866
795.4000	-0.00559119
795.2000	-0.00591959
795.0000	-0.00606309
794.8000	-0.00626533
794.6000	-0.00625963
794.4000	-0.00604966
794.2000	-0.00630738
794.0000	-0.00595356
793.8000	-0.00576248
793.6000	-0.00567874
793.4000	-0.00540023
793.2000	-0.00523564
793.0000	-0.00554005
792.8000	-0.00597714
792.6000	-0.00585241
792.4000	-0.00579812
792.2000	-0.00591697
792.0000	-0.00606428
791.8000	-0.00602775
791.6000	-0.00590301
791.4000	-0.00580275
791.2000	-0.00563205
791.0000	-0.00572162
790.8000	-0.00583964
790.6000	-0.00573926
790.4000	-0.00585669
790.2000	-0.00605976
790.0000	-0.00565729
789.8000	-0.00561512
789.6000	-0.00584184
789.4000	-0.00577531
789.2000	-0.00592749
789.0000	-0.00577169
788.8000	-0.00551219
788.6000	-0.00593277
788.4000	-0.00592725
788.2000	-0.0057572
788.0000	-0.00565723
787.8000	-0.00562581
787.6000	-0.00619762
787.4000	-0.00609546
787.2000	-0.00587165
787.0000	-0.00604889
786.8000	-0.0059023
786.6000	-0.00562486
786.4000	-0.00564227
786.2000	-0.00564767
786.0000	-0.00588205
785.8000	-0.00610591
785.6000	-0.00589814
785.4000	-0.00562071
785.2000	-0.00541751
785.0000	-0.00542274
784.8000	-0.00574425
784.6000	-0.00582954
784.4000	-0.00572613
784.2000	-0.00576842
784.0000	-0.00583417
783.8000	-0.00571342
783.6000	-0.00580578
783.4000	-0.00590385
783.2000	-0.00564114
783.0000	-0.00577923
782.8000	-0.00579313
782.6000	-0.0057509
782.4000	-0.00592279
782.2000	-0.0059285
782.0000	-0.00596835
781.8000	-0.00581422
781.6000	-0.00570576
781.4000	-0.00598623
781.2000	-0.00591151
781.0000	-0.00551777
780.8000	-0.00537463
780.6000	-0.00578054
780.4000	-0.0060562
