x,y
711.0,10179.681
712.0,10159.185
713.0,10034.47
714.0,9956.794
715.0,9902.402
716.0,9836.126
717.0,9790.741
718.0,9716.546
719.0,9668.148
720.0,9588.169
721.0,9524.542
722.0,9446.733
723.0,9366.925
724.0,9314.401
725.0,9215.693
726.0,9147.089
727.0,9079.63
728.0,9012.424
729.0,8981.754
730.0,8866.546
731.0,8807.559
732.0,8732.177
733.0,8657.024
734.0,8573.979
735.0,8484.794
736.0,8391.494
737.0,8381.731
738.0,8254.005
739.0,8209.076
740.0,8188.255
741.0,8059.896
742.0,8040.706
743.0,7953.465
744.0,7937.356
745.0,7849.761
746.0,7741.396
747.0,7717.215
748.0,7586.711
749.0,7533.838
750.0,7458.953
751.0,7435.855
752.0,7322.205
753.0,7298.52
754.0,7210.858
755.0,7145.575
756.0,7066.604
757.0,7002.707
758.0,6931.145
759.0,6913.996
760.0,6817.973
761.0,6723.944
762.0,6663.688
763.0,6592.696
764.0,6558.086
765.0,6499.297
766.0,6390.947
767.0,6334.879
768.0,6277.287
769.0,6203.649
770.0,6129.222
771.0,6076.429
772.0,6022.941
773.0,5935.447
774.0,5882.323
775.0,5860.375
776.0,5755.892
777.0,5750.076
778.0,5632.686
779.0,5612.491
780.0,5530.502
781.0,5428.376
782.0,5466.706
783.0,5332.676
784.0,5273.473
785.0,5198.064
786.0,5194.033
787.0,5127.582
788.0,5073.578
789.0,4983.38
790.0,4936.969
791.0,4915.621
792.0,4871.142
793.0,4846.07
794.0,4761.331
795.0,4687.781
796.0,4622.278
797.0,4588.24
798.0,4556.898
799.0,4434.884
800.0,4455.365
801.0,4345.291
802.0,4328.371
803.0,4294.921
804.0,4177.458
805.0,4145.569
806.0,4141.453
807.0,4087.727
808.0,3994.404
809.0,3917.075
810.0,3895.174
811.0,3852.009
812.0,3835.471
813.0,3756.967
814.0,3686.833
815.0,3657.194
816.0,3604.284
817.0,3534.238
818.0,3507.083
819.0,3439.197
820.0,3400.598
821.0,3358.133
822.0,3309.643
823.0,3242.449
824.0,3222.545
825.0,3198.88
826.0,3104.142
827.0,3028.606
828.0,3001.118
829.0,2960.355
830.0,2916.753
831.0,2890.643
832.0,2883.628
833.0,2900.813
834.0,2803.364
835.0,2750.445
836.0,2730.673
837.0,2737.847
838.0,2774.794
839.0,2668.083
840.0,2667.55
841.0,2614.51
842.0,2605.483
843.0,2533.209
844.0,2590.614
845.0,2519.284
846.0,2432.758
847.0,2518.316
848.0,2338.995
849.0,2346.754
850.0,2310.206
851.0,2095.323
852.0,1879.462
853.0,1674.448
854.0,1634.677
855.0,1418.761
856.0,1214.627
857.0,1172.026
858.0,1068.678
859.0,917.378
860.0,819.5
861.0,683.233
862.0,642.185
863.0,522.786
864.0,496.019
865.0,414.187
866.0,402.145
867.0,339.276
868.0,240.248
869.0,225.71
870.0,181.737
871.0,164.999
872.0,114.784
873.0,81.338
874.0,66.219
875.0,45.234
876.0,61.672
877.0,29.284
878.0,-9.771
879.0,34.076
880.0,38.862
881.0,-38.467
882.0,-19.862
883.0,-55.725
884.0,-18.531
885.0,-63.967
886.0,-68.508
887.0,-53.636
888.0,-82.882
889.0,-76.742
890.0,-74.894
891.0,-92.409
892.0,-76.971
893.0,-105.936
894.0,-76.701
895.0,-63.7
896.0,-82.861
897.0,-80.221
898.0,-93.177
899.0,-70.581
900.0,-73.247
