x,y
859.0,877.021
860.0,997.985
861.0,1179.586
862.0,1396.119
863.0,1689.044
864.0,1921.529
865.0,2194.187
866.0,2586.93
867.0,2963.791
868.0,3388.315
869.0,3920.034
870.0,4360.985
871.0,4906.655
872.0,5556.709
873.0,6059.814
874.0,6817.634
875.0,7341.786
