Step;C:\Users\49157\OneDrive\Desktop\Protokolle\PC2\Opt\Chloro\chloro_1.txt;C:\Users\49157\OneDrive\Desktop\Protokolle\PC2\Opt\Chloro\chloro_2.txt;C:\Users\49157\OneDrive\Desktop\Protokolle\PC2\Opt\Chloro\chloro_3.txt;C:\Users\49157\OneDrive\Desktop\Protokolle\PC2\Opt\Chloro\chloro_4.txt;C:\Users\49157\OneDrive\Desktop\Protokolle\PC2\Opt\Chloro\chloro_5.txt
377,0;0,001674317;0,0016437508;0,001648438;0,001663819;0,0016406254
383,0;0,001650879;0,0016451416666666667;0,001645508;0,001636963;0,001640992
389,0;0,001646729;0,0016384684999999999;0,001641602;0,001650147;0,0016446131666666666
395,0;0,001636231;0,001644898;0,001655762;0,001641358;0,0016596683333333334
401,0;0,001673828;0,0016422125;0,001657471;0,001626221;0,001662598
406,0;0,0016792;0,0016415532;0,001641114;0,001648682;0,0016520508
412,0;0,001665528;0,0016493328333333334;0,001617432;0,001623535;0,0016632489999999999
418,0;0,001669434;0,0016421306666666666;0,001631592;0,001664551;0,0016491293333333332
424,0;0,001655274;0,0016383468333333335;0,001638428;0,001647461;0,0016502278333333333
430,0;0,001639405;0,00166683;0,001627686;0,001635498;0,0016252846666666666
