Wavelength;C:\Users\49157\OneDrive\Desktop\Protokolle\PC2\Opt\data\filter.txt
1028,182855168139;0,008625001
1027,475098519235;0,008735352999999998
1026,7670368301503;0,008637452
1026,0586703110964;0,008629151
1025,3499991723756;0,008572022999999998
1024,759207346315;0,008497071
1024,0499782847064;0,008496583
1023,3404451997785;0,008296632
1022,6306083021791;0,008113039
1021,9204678026475;0,008098878
1021,3284522869944;0,007999024
1020,6177557315539;0,007946045
1019,9067561717632;0,00790381
1019,195453818706;0,007815432
1018,4838488835564;0,007773927
1017,8906137842467;0,007542237999999998
1017,178454664024;0,007566652
1016,4659935605216;0,007468751
1015,7532306852584;0,00731421
1015,0401662498406;0,007335694
1014,3268004659654;0,007311524
1013,7320989354561;0,007157716
1013,0181812295301;0,007045656
1012,3039627754412;0,007122071
1011,589443785228;0,00700171
1010,874624471019;0,00714502
1010,2787124481173;0,007062501
1009,5633430911588;0,007026368
1008,84767401172;0,007167238
1008,1317054222711;0,007067139
1007,4154375353721;0,007214356
1006,8183191530383;0,007356935
1006,1015031065041;0,007320557999999999
1005,3843883652527;0,007413575
1004,6669751421829;0,007434816
1003,9492636502829;0,007517335
1003,2312541026296;0,00768091
1002,6326852852255;0,007616212
1001,9141298557247;0,007571778
1001,1952769746674;0,007499757
1000,476126855469;0,007484865
999,7566797116334;0,00753589
999,1569136853769;0,007663574999999998
998,4369225511816;0,007576417
997,7166349977547;0,007628907
996,9960512389375;0,00757715
996,2751714886595;0,007515626
995,6742124132394;0,007492188999999998
994,9527905678628;0,0072959
994,2310733376349;0,007221924999999999
993,5090609368216;0,007169435
992,7867535797764;0,007000489
992,0641514809404;0,006963868
991,4617580700333;0,007005373
990,7386161684883;0,006980714
990,0151801332102;0,006989747
989,2914501789749;0,007194825
988,5674265206455;0,007356447
987,9638492698176;0,007684083
987,2392877123201;0,007928467999999998
986,5144330599817;0,008393312
985,7892855279994;0,009010256
985,0638453316573;0,009689211
984,4590884270302;0,01041773
983,7331122387915;0,0112085
983,0068439966362;0,01199243
982,2802839161819;0,01281006
981,5534322131316;0,01404029
980,826289103276;0,01510059
980,2201140650499;0,01614331
979,492437270126;0,01720557
978,7644696802711;0,01821851
978,0362115116069;0,01947095
977,3076629803412;0,020948
976,7003175555642;0,02217627
975,9712372546875;0,02325879
975,2418672042656;0,02428028
974,5122076208362;0,02532911
973,7822587210233;0,02669703
973,1737471219507;0,02791285
972,4432683716722;0,02888648
971,7125009192436;0,02976587
970,9814449816171;0,03043604
970,2501007758317;0,03140699
969,5184685190104;0,03244215
968,9085550893773;0,03324317
968,1763953031938;0,03399244
967,4439480816233;0,03455079
966,7112136421171;0,03517383
965,9781922022119;0,03598706
965,3671219228759;0,03662525
964,6335748808458;0,0371233
963,8997414552331;0,03754688
963,1656218639005;0,03766065
962,4312163247957;0,03819263
961,6965250559516;0,0383606
961,0840642235;0,03840919
960,3488496833612;0,03851636
959,6133500317027;0,0385459
958,8775654868824;0,03842163
958,1414962673422;0,03824781
957,5278879488567;0,0378606
956,7912973932864;0,03751929
956,0544227823746;0,03700123
955,3172643348865;0,0363921
954,5798222696727;0,0358733
953,9650707208459;0,03463721
953,2271092584826;0,03369898
952,4888647989253;0,0328545
951,7503375613468;0,03165138
951,0115277650029;0,03061328
950,2724356292347;0,02910181
949,6563099984459;0,0274983
948,9167008103524;0,0262605
948,1768099047529;0,02487867
947,4366375013092;0,02377613
946,6961838197659;0,02271997
946,0789243785243;0,02147168
945,3379555914681;0,02076807
944,5967061493762;0,02035156
943,8551762723125;0,01999658
943,1133661804253;0,01995948
942,4949772097457;0,02028028
941,7526539627305;0,02063062
941,0100511250957;0,02134766
940,2671689173071;0,022052
939,5240075599147;0,02279029
938,7805672735498;0,02384864
938,1608207900692;0,02513062
937,416869707228;0,02624707
936,6726403209885;0,02740552
935,9281328523002;0,02828565
935,1833475221953;0,02930689
934,5624809847127;0,03057422
933,8171868163522;0,0315293
933,0716154132793;0,03227369
932,3257669968422;0,03290064
931,5796417884698;0,03332178
930,957659503017;0,03389771
930,21102741814;0,03429542
929,4641191691588;0,0344148
928,7169349778183;0,03465503
927,9694750659451;0,03463819
927,2217396554472;0,03464698
926,5984165231799;0,0348877
925,8501766084871;0,03471509
925,1016618243542;0,03481714
924,3528723930026;0,03493311
923,6038085367352;0,03493384
922,9793791868055;0,03522437
922,2298127958339;0,03561035
921,4799726102474;0,03610255
920,729858852661;0,03677662
919,9794717457712;0,03738624
919,3539405089211;0,0380442
918,6030528403026;0,03933936
917,8518924537938;0,04038892
917,1004595724014;0,04162134
916,3487544192136;0,04252735
915,5967772173989;0,04331519
914,9699218953581;0,04443799
914,2174465176142;0,0454109
913,4646997239932;0,04596266
912,7116817379734;0,04670142
911,9583927831126;0,04696388
911,3304451586507;0,04726075
910,57666000848;0,0474192
909,8226045233204;0,04728468
909,0682789270392;0,04694508
908,3136834435826;0,04640235
907,6846478718425;0,04587232
906,9295581771362;0,04523292
906,1741992302051;0,04408374
905,4185712553024;0,04304029
904,6626744767614;0,04227637
903,9065091189954;0,04115552
903,2761663181295;0,04013306
902,5195091482329;0,03900098
901,7625840353816;0,03751807
901,0053912042933;0,0362522
900,2479308797664;0,0350813
899,6165097696304;0,033823
898,8585596245792;0,03268677
898,1003426234478;0,03097657
897,3418589913379;0,02977344
896,5831089534307;0,02886426
895,9506139132579;0,02773047
895,1913760498305;0,02706666
894,431872419048;0,02635767
893,6721032463944;0,02566749
892,9120687574326;0,02556788
892,1517691778046;0,0255066
891,5179838578099;0,02546143
890,7571988649283;0,02544751
889,9961494211252;0,02523096
889,2348357523431;0,02489136
888,4732580846033;0,02452906
887,8384085254007;0,0236648
887,0763474468598;0,02273413
886,3140230101801;0,02133472
885,5514354416835;0,01947754
884,7885849677691;0,01802564
884,1526755723697;0,01644605
883,3893436934587;0,01498731
882,6257495510187;0,01368824
881,8618933717482;0,01175293
881,0977753824238;0,01052783
880,3333958098987;0,009923097
879,6962131760117;0,009201418
878,9313546237336;0,008968507
878,166235131429;0,009023439
877,4008549262492;0,009124757
876,635214235423;0,009616945
875,9969815082978;0,01045606
875,2308638508727;0,01138794
874,4644863520351;0,01297827
873,6978492393097;0,01520557
872,9309527402984;0,0169668
872,1637970826797;0,01871387
871,5243028972624;0,01981641
870,7566727071179;0,02068531
869,9887840038733;0,02113672
869,2206370155026;0,02111573
868,452231970055;0,02115723
867,8116974698283;0,02102637
867,0428199122913;0,02097608
866,2736849442349;0,02130396
865,5042927940028;0,02192871
864,7346436900147;0,02288208
864,0930733174181;0,02439356
863,3229537250535;0,02624366
862,552577826536;0,02873316
861,781945850577;0,03324805
861,0110580259646;0,03875391
860,2399145815623;0,04443678
859,5970999446097;0,05073658
858,8254884585878;0,05753858
858,0536220016351;0,06635646
857,2815008029061;0,07930421
856,5091250916303;0,08985353
855,8652844116909;0,09913674
855,0924426896914;0,1091753
854,31934710504;0,1182422
853,5459978872559;0,1293445
852,7723952659335;0,1392256
852,1275330083774;0,1462625
851,353466410459;0,1517393
850,5791470599281;0,1567029
849,8045751866675;0,1607478
849,0297510206346;0,1653914
848,2546747918616;0,1681888
847,6085855526331;0,1700171
846,83304780653;0,1712085
846,0572586498516;0,171752
845,281218312916;0,1727532
844,5049270261171;0,1725191
843,8578260889083;0,1719361
843,08107532599;0,1707503
842,3040742663941;0,1697251
841,5268231407993;0,1680923
840,7493221799582;0,1649817
840,1012140327501;0,162065
839,323255640187;0,1592681
838,5450480665799;0,1553069
837,7665915429658;0,1515589
836,9878863004554;0,1460684
836,2089325702334;0,1392998
835,559614811552;0,1335205
834,7802061212077;0,1280281
834,0005495985747;0,1216953
833,2206454751207;0,1150354
832,4404939823854;0,1056782
831,7901789428902;0,09855934
831,0095745414126;0,09254616
830,2287234270841;0,08566406999999998
829,4476258317263;0,07986232
828,666281987234;0,0723318
828,0149741771976;0,06466823
827,2331794784837;0,05897365
826,4511391880676;0,05359792
825,6688535381238;0,04853346
824,8863227609002;0,04316822
824,1035470887164;0,0363252
823,4510471236825;0,03140137
822,6678230810346;0,02765064
821,8843548020625;0,02355323
821,1006425193644;0,02059888
820,316686465612;0,01728199
819,6632037080622;0,01420899
818,878801345248;0,01241431
818,0941558710067;0,01089697
817,3092675182864;0,009603273
816,5241365201076;0,008559571
815,8696755022843;0,007543702
815,0841002595419;0,006889894
814,2982830319556;0,006514161
813,5122240528217;0,006199708
812,7259235555076;0,00607837
811,939381773453;0,006059327
811,2837461421398;0,005922853
810,4967626112593;0,005918214
809,709538457439;0,005976563
808,9220739143924;0,00585254
808,1343692159046;0,005891603
807,4777653504717;0,005836671
806,6896209744368;0,005822754
805,9012371057385;0,005930177
805,112613978435;0,005813966
804,3237518266553;0,005970216
803,6661842809922;0,006112795
802,8768845259931;0,005997804
802,0873464102689;0,006163331
801,2975701682196;0,006302004
800,5075560343168;0,0061792
799,7173042431025;0,006302491
799,0585797092369;0,00648047
798,2678928223434;0,006594728
797,4769689430568;0,006816163
796,6858083061895;0,006781251
795,8944111466237;0,006848878
795,2347330060956;0,007069581
794,442902831857;0,007245851
793,6508368008012;0,007496095
792,8585351480795;0,007897463
792,0659981089125;0,008302248
791,4053709369321;0,009105471
790,6124029671024;0,01102881
789,8192002776669;0,01352906
789,0257631041143;0,0167085
788,2320916820022;0,02114478
787,4381862469589;0,02609278
786,7764197945866;0,03417237
785,9820859480438;0,04400123
785,1875187565593;0,05277442
784,3927184560259;0,06137623
783,597685282407;0,06955006
782,9349799188453;0,07871828
782,1395204243137;0,09100099
781,3438287256331;0,1011863
780,5479050590316;0,1101773
779,7517496608051;0,120447
779,08810998226;0,1291419
778,2915303566641;0,1400681
777,4947196693233;0,1519546
776,6976781567975;0,1600423
775,9004060557147;0,1659788
775,1029036027721;0,1706719
774,4381424329058;0,1733814
773,6402182832006;0,1737632
772,8420644526476;0,171219
772,0436811782048;0,1666275
771,2450686968994;0,1592393
770,5793833782857;0,1511145
